market_hash_name,mean_price_usd,volatility,spike_count,risk_score_LogReg,safe_price_usd_LogReg
MP7 | Abyssal Apparition (Well-Worn),0.26,,48,0.9999999917020718,0.19500000053936534
Sticker | L00m1 (Holo) | Austin 2025,0.9932432432432432,,47,0.9999999872205841,0.7449324356056994
Sticker | yuurih (Holo) | Austin 2025,0.2993197278911564,,47,0.9999999871044206,0.2244897968833426
Sticker | tN1R (Holo) | Austin 2025,3.7152777777777777,,47,0.999999987101107,2.786458345314076
Sticker | NQZ (Holo) | Austin 2025,0.1496598639455782,,47,0.9999999870023901,0.1122448984454888
StatTrak™ MAC-10 | Whitefish (Minimal Wear),0.1266666666666666,,47,0.9999999869261211,0.09500000041400611
Sticker | ICY (Holo) | Shanghai 2024,0.3333333333333333,,47,0.9999999868202023,0.25000000109831644
USP-S | Black Lotus (Well-Worn),0.4733333333333333,,46,0.9999999796348273,0.3550000024098787
M249 | Deep Relief (Minimal Wear),0.6,,46,0.9999999794054673,0.45000000308917987
Sticker | Supreme Master First Class (Holo),1.08,,46,0.999999979334742,0.8100000055796197
Sticker | Magnojez (Holo) | Austin 2025,0.2816901408450704,,45,0.9999999677373058,0.21126760790582352
Dual Berettas | Balance (Well-Worn),0.3266666666666666,,45,0.9999999674110152,0.2450000026614337
StatTrak™ Dual Berettas | Balance (Well-Worn),0.4797297297297297,,45,0.9999999672807318,0.3597973012213987
Sticker | nicoodoz (Holo) | Copenhagen 2024,0.5522388059701493,,45,0.9999999672405107,0.4141791090003773
Souvenir SSG 08 | Jungle Dashed (Factory New),0.8482758620689655,,45,0.9999999671238828,0.6362069035237282
Sticker | MIBR | Katowice 2019,0.4117647058823529,,45,0.9999999668205517,0.30882353282729613
P90 | Cocoa Rampage (Well-Worn),0.1094890510948905,,45,0.9999999662953092,0.08211678924374152
Tec-9 | Avalanche (Well-Worn),0.8133333333333334,,44,0.9999999487208062,0.6100000104267694
SSG 08 | Blush Pour (Battle-Scarred),0.4266666666666667,,44,0.9999999485877624,0.320000005483972
Desert Eagle | Meteorite (Field-Tested),0.6866666666666666,,44,0.9999999484754873,0.5150000088450414
Sticker | n1ssim (Holo) | Austin 2025,1.6524822695035462,,44,0.9999999483870454,1.2393617234500327
USP-S | Torque (Battle-Scarred),1.1382113821138211,,44,0.9999999482644002,0.853658551306878
StatTrak™ Desert Eagle | Oxide Blaze (Battle-Scarred),0.7412587412587412,,44,0.9999999481881892,0.5559440655455453
Sticker | Cxzi (Holo) | Austin 2025,0.4375,,44,0.9999999481673456,0.3281250056691966
Sticker | Lynn Vision (Glitter) | Copenhagen 2024,0.1066666666666666,,44,0.999999948085859,0.08000000138437705
Sticker | Grim (Holo) | Austin 2025,0.6870748299319728,,44,0.9999999480407831,0.5153061313739471
Sticker | 1eeR (Holo) | Austin 2025,0.6666666666666666,,44,0.9999999477935225,0.5000000087010795
Souvenir CZ75-Auto | Nitro (Minimal Wear),0.6486486486486487,,44,0.9999999477808837,0.4864864949544513
Tec-9 | Remote Control (Battle-Scarred),0.4533333333333333,,44,0.9999999476395819,0.3400000059341807
Souvenir Charm | Austin 2025 Highlight | Double Spraydown,0.2631578947368421,,44,0.9999999476194635,0.1973684244987195
Sticker | saadzin (Holo) | Austin 2025,0.8439716312056738,,44,0.9999999474885762,0.6329787344837933
Sticker | ins (Holo) | Antwerp 2022,0.3442622950819672,,44,0.999999947317005,0.2581967258456676
StatTrak™ MP9 | Modest Threat (Factory New),0.36,,43,0.9999999188011818,0.27000000730789364
R8 Revolver | Memento (Field-Tested),0.5666666666666667,,43,0.9999999185807702,0.4250000115343908
Sticker | Sonic (Holo) | Austin 2025,0.4788732394366197,,43,0.9999999184685786,0.35915493933826875
